"id"	"name"	"type"	"path"	"component"	"permission_key"	"status"	"level"	"parent_id"	"sort"	"created_at"	"en_name"
"b4433b34-7deb-4680-823d-68d2313006c8"	"新建"	"button"			"nodes_create"	"t"	"5"	"63eecdc8-ebd5-4133-ba46-9a6cca38cc5f"	"4"	"7/6/2022 08:45:28.845683"	
"43ad28fc-7262-436b-9dfa-309ef09fca04"	"查看"	"button"			"pods_check"	"t"	"5"	"9a6e9fe8-4d3e-4a68-a4a9-40eb21950d73"	"1"	"7/6/2022 08:46:45.114337"	
"346e04b0-80ad-4d24-bc26-6e26a9d95eae"	"修改"	"button"			"pods_edit"	"t"	"5"	"9a6e9fe8-4d3e-4a68-a4a9-40eb21950d73"	"2"	"7/6/2022 08:48:33.859675"	
"fd9e84af-0332-4a07-9cc1-cb12fe7544b8"	"删除"	"button"			"pods_delete"	"t"	"5"	"9a6e9fe8-4d3e-4a68-a4a9-40eb21950d73"	"3"	"7/6/2022 08:48:57.06414"	
"29d769e2-f9a8-424b-80c1-c4e1dc2eb896"	"新建"	"button"			"pods_create"	"t"	"5"	"9a6e9fe8-4d3e-4a68-a4a9-40eb21950d73"	"4"	"7/6/2022 08:49:19.113637"	
"56e16368-d0ce-4f3c-86f0-a5abc05b23ec"	"查看"	"button"			"deployments_check"	"t"	"5"	"a35818da-3ee9-4d5e-bee5-a13128a9e2ea"	"1"	"7/6/2022 08:49:59.363578"	
"2823cb74-b748-43f5-8f54-e59a97efb9f1"	"用户管理"	"menu"	"platformSM/users"	"platformSM/users"	"user_view"	"t"	"2"	"4d00e571-0ff5-49ca-9d40-6075f8ba3d5c"	"4"	"3/3/2022 03:04:24.259682"	"users"
"3137180b-a47d-46cd-b75b-4b70c7a6f922"	"修改"	"button"			"deployments_edit"	"t"	"5"	"a35818da-3ee9-4d5e-bee5-a13128a9e2ea"	"2"	"7/6/2022 08:50:19.739065"	
"7e62cb6f-ac0c-486c-9c92-3a9c8ddb2d90"	"新建"	"button"			"deployments_create"	"t"	"5"	"a35818da-3ee9-4d5e-bee5-a13128a9e2ea"	"4"	"7/6/2022 08:51:04.003907"	
"cdcf47b1-10eb-4244-a3d0-4dadbbadaf2c"	"删除"	"button"			"services_delete"	"t"	"5"	"3f3b402a-9ee6-4e81-a2af-f0b08193b3f9"	"3"	"7/6/2022 08:52:08.195784"	
"6c01f349-68ac-46e1-a071-22afa847c24c"	"新建"	"button"			"services_create"	"t"	"5"	"3f3b402a-9ee6-4e81-a2af-f0b08193b3f9"	"4"	"7/6/2022 08:52:34.270973"	
"84801f06-d227-4c2c-aa4c-01db4dc4a56a"	"删除"	"button"			"deployments_delete"	"t"	"5"	"a35818da-3ee9-4d5e-bee5-a13128a9e2ea"	"3"	"7/6/2022 08:50:41.787623"	
"982b6069-492e-452d-9223-f3f63a8e83a5"	"查看"	"button"			"services_check"	"t"	"5"	"3f3b402a-9ee6-4e81-a2af-f0b08193b3f9"	"1"	"7/6/2022 08:51:27.538737"	
"464d52c4-1c3a-4801-8e5d-2e311eba96af"	"修改"	"button"			"services_edit"	"t"	"5"	"3f3b402a-9ee6-4e81-a2af-f0b08193b3f9"	"2"	"7/6/2022 08:51:48.383082"	
"d953e9ee-e0e9-44a2-a044-7270a559e92d"	"角色管理"	"menu"	"platformSM/roles"	"platformSM/roles"	"role_view"	"t"	"2"	"4d00e571-0ff5-49ca-9d40-6075f8ba3d5c"	"2"	"3/3/2022 06:07:28.223629"	"roles"
